               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021096,            0.026162,           0.0055397,             0.90641,              0.8639,             0.94483,              0.6797,            0.018193,            0.020521,           0.0026645,           0.0043353,           0.0043353,           0.0043353
                  37,            0.019701,            0.024326,           0.0054918,             0.86286,             0.87349,             0.93195,              0.6683,             0.01953,            0.020662,           0.0031071,           0.0041094,           0.0041094,           0.0041094
                  38,            0.019625,            0.023447,           0.0058698,             0.90676,              0.8594,             0.93531,             0.71205,            0.014716,            0.020338,            0.002802,           0.0038873,           0.0038873,           0.0038873
                  39,            0.019067,            0.023291,           0.0048921,             0.92869,              0.8619,             0.93901,             0.68897,            0.016915,            0.021453,           0.0024082,           0.0036697,           0.0036697,           0.0036697
                  40,            0.019038,            0.025864,           0.0047768,             0.95148,             0.82099,             0.94519,             0.70427,            0.017145,            0.020138,           0.0025293,            0.003457,            0.003457,            0.003457
                  41,            0.017457,             0.02389,           0.0049398,             0.89301,             0.86851,             0.93805,             0.67164,            0.016492,            0.020789,           0.0022646,             0.00325,             0.00325,             0.00325
                  42,            0.017441,            0.023839,           0.0041548,             0.89897,             0.85859,             0.92558,             0.65858,            0.016519,            0.020885,            0.002312,           0.0030491,           0.0030491,           0.0030491
                  43,            0.017243,            0.023943,           0.0045803,             0.90745,             0.87084,             0.94353,             0.69784,            0.015282,            0.020915,           0.0022256,            0.002855,            0.002855,            0.002855
                  44,            0.017778,             0.02317,           0.0045223,             0.88634,              0.8922,              0.9528,             0.71948,            0.015383,            0.021351,           0.0021223,           0.0026681,           0.0026681,           0.0026681
                  45,             0.01577,            0.023526,           0.0036577,             0.86887,             0.87449,              0.9386,             0.69419,            0.014364,            0.020951,           0.0023423,           0.0024889,           0.0024889,           0.0024889
                  46,            0.015531,            0.024479,           0.0047898,              0.8881,             0.88584,             0.94418,             0.72718,            0.015451,            0.021449,            0.002425,            0.002318,            0.002318,            0.002318
                  47,            0.015206,            0.023417,           0.0039003,             0.95581,             0.81952,             0.94697,             0.75223,             0.01379,            0.020954,           0.0024997,           0.0021558,           0.0021558,           0.0021558
                  48,            0.016385,            0.025216,           0.0053819,             0.90666,             0.85417,             0.94259,             0.72346,            0.015089,            0.021698,           0.0022935,           0.0020028,           0.0020028,           0.0020028
                  49,            0.016057,            0.023274,           0.0041309,             0.87189,             0.87066,             0.93574,              0.7183,             0.01489,            0.021733,           0.0026061,           0.0018594,           0.0018594,           0.0018594
                  50,             0.01571,            0.023945,           0.0040628,             0.85769,             0.89983,              0.9389,             0.71886,            0.014419,            0.021208,           0.0023309,            0.001726,            0.001726,            0.001726
                  51,            0.015626,            0.023973,           0.0037582,             0.85806,             0.90178,             0.94396,             0.70744,            0.015023,             0.02071,           0.0021232,           0.0016029,           0.0016029,           0.0016029
                  52,            0.015154,            0.022533,           0.0042018,             0.90965,             0.86261,             0.95178,             0.72856,            0.014815,            0.020636,           0.0017191,           0.0014905,           0.0014905,           0.0014905
                  53,            0.014456,            0.022807,           0.0035098,             0.88066,             0.89195,             0.95054,             0.71786,            0.015124,            0.020828,           0.0017615,            0.001389,            0.001389,            0.001389
                  54,             0.01442,            0.020321,           0.0037987,             0.94775,             0.84822,             0.95445,             0.73055,            0.014875,             0.02052,           0.0016751,           0.0012989,           0.0012989,           0.0012989
                  55,            0.014938,            0.022297,           0.0042449,             0.94558,             0.85237,             0.95018,             0.73049,            0.015058,            0.020939,           0.0015436,           0.0012202,           0.0012202,           0.0012202
                  56,            0.015233,            0.022816,           0.0034962,             0.90343,              0.8858,             0.94871,             0.73543,            0.014617,            0.021334,           0.0015506,           0.0011533,           0.0011533,           0.0011533
                  57,            0.014582,             0.02244,            0.003678,             0.92375,             0.85825,             0.94796,             0.73926,            0.014872,            0.021246,           0.0015182,           0.0010983,           0.0010983,           0.0010983
                  58,            0.014141,            0.024203,            0.002796,             0.91866,             0.85151,             0.94209,             0.71594,            0.015411,            0.021708,           0.0017272,           0.0010554,           0.0010554,           0.0010554
                  59,            0.014118,            0.021943,           0.0028573,              0.9361,             0.84906,               0.933,             0.71787,            0.014722,            0.022228,           0.0018659,           0.0010247,           0.0010247,           0.0010247
